criterion,predictor,type,eta2_mean,eta2_ci_lower,eta2_ci_upper,mean_p_value,significance
Anger_P,Anger_A,emotion,0.006206928073014504,0.0052409851546072125,0.0072462393471381045,0.0002810887559710651,1.0
Anger_P,Fear_A,emotion,0.0033116039058096796,0.0026356136948952062,0.004048790120605676,0.04419512219084703,0.604
Anger_P,Disgust_A,emotion,0.00019813408231980227,7.99441361979884e-05,0.00037277383456601744,0.3084407394755215,0.0
Anger_P,Joy_A,emotion,0.0011030398591243436,0.0007700996663707482,0.0014823843089965196,0.13399185364201224,0.05
Anger_P,None_A,emotion,0.0031457735039708695,0.002418544444166915,0.0038814956892194346,0.046630543992423966,0.591
Anger_P,NewsroomTopic,NewsroomTopic,0.011777242521438105,0.010978306830692867,0.012628521688768105,0.0,1.0
Fear_P,Anger_A,emotion,0.004913578239234078,0.004272421521828258,0.0056062885109163215,0.02727415391825015,0.816
Fear_P,Fear_A,emotion,0.0130425682207977,0.011868412402400611,0.014292479713552983,0.00010396366302258178,1.0
Fear_P,Disgust_A,emotion,0.000657503943518955,0.0004492179271442071,0.0009104041784011162,0.24226780930819422,0.003
Fear_P,Joy_A,emotion,0.0026936638981005867,0.002205391846852551,0.0032382074092755153,0.031202216804792494,0.757
Fear_P,None_A,emotion,0.010385503942215898,0.009346397680416042,0.011526166515933923,0.03759017526045039,0.677
Fear_P,NewsroomTopic,NewsroomTopic,0.030228786308607446,0.028927483506751492,0.03166138762735935,0.0,1.0
Disgust_P,Anger_A,emotion,0.004420758024708601,0.003696135446572064,0.005217949874218682,0.0006987073799096203,1.0
Disgust_P,Fear_A,emotion,0.0029520902232230022,0.0024340363578725962,0.003535090696865763,0.04822174795628014,0.579
Disgust_P,Disgust_A,emotion,0.0020492230611293795,0.0016852295752661844,0.0024175014479281376,0.04065401928527144,0.709
Disgust_P,Joy_A,emotion,0.0008498000104460438,0.0005855637825008266,0.0011346138348806202,0.10222262730737208,0.173
Disgust_P,None_A,emotion,0.001986974989525133,0.0015573305291675542,0.002476168224514138,0.01832626166577905,0.892
Disgust_P,NewsroomTopic,NewsroomTopic,0.008165834257357533,0.007498769496611293,0.008868318069143394,0.0,1.0
Joy_P,Anger_A,emotion,0.0032705443132054414,0.002759101991544075,0.0038868010880640166,0.03673185345277436,0.713
Joy_P,Fear_A,emotion,0.011396361336245456,0.010357199742244427,0.01255444938944065,0.0018957801288499567,0.995
Joy_P,Disgust_A,emotion,0.0002562654053400874,0.00012841660009534357,0.00044729072684746696,0.3284165611605036,0.0
Joy_P,Joy_A,emotion,0.003768723799404115,0.0031345710237379756,0.004470830142123902,0.02060192035430302,0.857
Joy_P,None_A,emotion,0.01229732557294531,0.011242907228917201,0.013477182222821486,0.02748717020629345,0.801
Joy_P,NewsroomTopic,NewsroomTopic,0.042883860641006646,0.04122253288982827,0.04449778103902815,0.0,1.0
None_P,Anger_A,emotion,0.0015144072633835823,0.0011482210924866172,0.0019441217191333564,0.07230298402427368,0.337
None_P,Fear_A,emotion,0.0061258038692177975,0.005329511962405425,0.006960467470365915,0.0046888437815271805,0.992
None_P,Disgust_A,emotion,0.00019841405533576706,8.842544011693089e-05,0.0003802827079798458,0.40740445493611344,0.0
None_P,Joy_A,emotion,0.001324521260457079,0.0009298389114502867,0.0017977476463702,0.06644913569360876,0.424
None_P,None_A,emotion,0.00738059941456365,0.006522499190605075,0.00831043377562175,0.0006763469280656123,1.0
None_P,NewsroomTopic,NewsroomTopic,0.010596922684426026,0.009849986642072461,0.011440906604221902,0.0,1.0
